
Univariate analysis of categorical variables:

Dependents (2):  OrderType = eCnj, Ind, kaaCnj, OtherCnj 

Independents (1): RdplS, RdplW, PV.Time, PV.Move, PV.StartFinWantCan, PV.Qual, PV.StartFin, PV.Position, PV.Discourse, PV.WantCan, AI_cosine_11, AI.do, AI.state, AI.speech, 
AI_cosine_5, AI_cosine_1, AI_cosine_2, AI_cosine_6, AI_cosine_3, AI.cooking, AI.reflexive, AI_cosine_9, AI_cosine_4, AI_cosine_12, AI.health, AI.plural, 
AI_cosine_7, AI.money.count, AI.pray, AI_cosine_8, AI_cosine_13, AI_cosine_10, AI.heat.fire, auto.vai.2, auto.vai.5, auto.vai.6, auto.vai.12, auto.vai.11, 
auto.na.5.actor, auto.vai.9, auto.vai.3, auto.nda.1.actor, auto.vai.4, auto.vai.13, auto.na.7.actor, auto.vai.1, auto.vai.8, auto.vai.7, auto.nda.3.actor, 
auto.vai.10, auto.na.1.actor, auto.na.2.actor, auto.na.3.actor, auto.ni.3.actor, auto.na.4.actor, auto.na.6.actor, A.actor, N.actor, NA.persons.actor, 
Sg.actor, Pron.actor, Pl.actor, D.actor, NDA.Relations.actor, Px1Sg.actor, Pers.actor, Dem.actor, Incl.actor, Med.actor, Prox.actor, 
NA.beast.of.burden.actor, pn.1Sg.actor, pn.3Sg.actor, Obv.actor, pn.1Pl.actor, NA.food.actor, Px3Sg.actor, Indef.actor, pn.3Pl.actor, NI.object.actor, 
Px12Pl.actor, Px1Pl.actor, actor.3, actor.1, actor.2, actor.4


                            N      alpha.X2       uc.12        uc.21 eCnj Ind kaaCnj OtherCnj
RdplS                     112      0.252548 0.003812992 0.0002986013    0   0      0        0
RdplW                     140  0.0002148083  0.01492637  0.001395624    +   -      0        0
PV.Time                  2056   6.00088e-96  0.05310958   0.02950288    +   -      -        +
PV.Move                   443  2.639462e-09  0.01423093  0.003178664    +   -      +        0
PV.StartFinWantCan        210    0.00999445 0.006134481 0.0007867049    +   0      0        0
PV.Qual                   171   0.004495748 0.008769719 0.0009592991    +   -      0        0
PV.StartFin               142   0.001776541  0.01131495  0.001069862    +   -      0        0
PV.Position               138  8.949075e-07  0.02201902  0.002035529    +   -      -        +
PV.Discourse              137  8.577512e-08  0.03030621  0.002785575    +   -      0        0
PV.WantCan                 69  8.620458e-06  0.02635225  0.001394753    0   0      -        +
AI_cosine_11             2291 1.174032e-127  0.07018062    0.0404785    -   +      -        -
AI.do                    2110  6.469558e-40  0.02372452   0.01330648    +   -      +        0
AI.state                 1935  9.608145e-20  0.01208028  0.006552597    +   -      0        0
AI.speech                1341 7.216689e-250   0.1681256   0.07648522    -   +      -        -
AI_cosine_5              1082  1.393513e-14  0.01129348  0.004550095    0   -      +        0
AI_cosine_1               696  2.421226e-08 0.009014463  0.002750623    +   -      0        0
AI_cosine_2               684  3.930695e-09  0.01016764  0.003066817    +   -      0        0
AI_cosine_6               467  1.341343e-12  0.01947827  0.004517162    +   -      +        0
AI_cosine_3               352  0.0001809277  0.00767162  0.001450744    +   -      0        0
AI.cooking                280  4.282813e-06  0.01244511  0.001985816    +   -      0        +
AI.reflexive              279  3.714643e-09   0.0197462  0.003142373    +   -      0        +
