                       N     alpha.X2       uc.12       uc.21 eCnj Ind kaaCnj OtherCnj
PV.Time             1200 2.444051e-66  0.07949812  0.04529993    +   -      -        +
PV.Move              164 1.906106e-05  0.02024072 0.003646385    +   -      +        0
PV.Discourse          69 0.0003103446  0.03067325 0.002854627    +   -      0        0
PV.Position           51 0.0006752903   0.0357437 0.002616661    +   -      -        0
TA_cosine_5         1847 7.254734e-29   0.0351545  0.01973242    -   +      -        0
TA.speech           1112 2.646505e-39  0.04632803  0.02587172    -   +      0        -
TA.do                829 1.832709e-15  0.02121375  0.01060312    +   -      +        0
TA.cognitive         826 3.274141e-06 0.008084454  0.00403422    +   -      -        +
TA_cosine_1          495 3.826457e-08  0.01443271 0.005486692    +   -      +        +
TA_cosine_4          259  0.003609447 0.008051775 0.002010485    +   -      0        0
TA_cosine_3          164   4.9116e-08  0.03118094 0.005617275    +   -      0        0
TA_cosine_2          144 5.553706e-07  0.02812099 0.004601639    +   -      0        0
TA.food               94 1.348149e-06  0.03822448 0.004526719    +   -      0        0
TA_cosine_7           24    0.0131605   0.0350834 0.001389798    0   -      +        0
auto.vta.6          1319 4.169016e-47  0.05377948  0.03121046    -   +      0        -
auto.vta.3           547 1.040059e-15  0.02747667  0.01107453    +   -      0        0
auto.vta.5           437 0.0001668313 0.007322962 0.002580727    0   -      0        +
auto.vta.1           391 1.050998e-05  0.01142724 0.003755041    0   -      +        +
auto.na.5.goal       234 0.0007653645  0.01003398  0.00233418    0   -      +        0
auto.vta.4           131 9.354386e-08  0.03435458 0.005237868    +   -      0        0
auto.vta.2           130  0.009541277  0.01184954 0.001796273    +   0      0        -
auto.nda.1.actor      57   0.02324808  0.01724809 0.001379906    0   -      +        0
auto.vta.7            24    0.0131605   0.0350834 0.001389798    0   -      +        0
auto.na.1.goal        21  0.004101971   0.0426678 0.001513044    -   0      0        +
A.actor              245 3.362349e-06  0.01769752 0.004251543    +   -      +        0
N.actor              194 1.916661e-06  0.02236867 0.004553576    +   -      +        0
Sg.actor             175 0.0001500912  0.01607698 0.003037188    +   -      +        0
left.ACTOR.actor     162  0.002881681  0.01173722 0.002095493    +   -      0        0
ACTOR.right.actor    133   0.04142632 0.007566493 0.001166812    0   -      +        0
D.actor               83  0.003801149  0.01910987 0.002055108    +   -      0        0
NDA.Relations.actor   79  0.009906278  0.01670118 0.001728263    +   -      0        0
actor.3             1245 1.769663e-12  0.01430347 0.008216652    +   -      -        -
actor.1             1046 7.291264e-22  0.02610647  0.01430239    -   +      0        -
actor.4              168 7.083319e-07  0.02694835 0.004941327    +   -      0        +
actor.2              144 2.197263e-28  0.08316337  0.01360862    -   0      0        +
goal.3              1475 3.857597e-12   0.0136523 0.007998218    -   +      0        +
goal.4               703 5.776367e-13   0.0185366 0.008561277    +   -      0        0
goal.1               617  0.007110495 0.004431415 0.001910728    0   0      0        -
goal.2               172  4.23944e-05  0.01613653 0.003010209    0   -      +        +
A.goal               654 0.0001636125 0.006480239 0.002882925    0   -      +        0
N.goal               571 0.0001295605 0.007227809 0.002985312    0   -      0        0
NA.persons.goal      358 0.0003114801 0.008247173 0.002560267    0   -      +        0
Sg.goal              286  2.80558e-05  0.01124286 0.003005054    -   0      +        0
Obv.goal             228  3.86025e-06  0.01797274 0.004105186    +   -      0        0
Dem.goal              92  0.006882797  0.01320729 0.001538323    0   0      +        0
awa.goal              92  0.006882797  0.01320729 0.001538323    0   0      +        0
Prox.goal             63 0.0002786943  0.02473382 0.002142381    0   0      +        0
Px3Sg.goal            39   0.01081865  0.02751858 0.001622835    +   -      0        0
Px12Pl.goal           19 0.0004399747  0.04749002  0.00154937    0   0      0        +
