                         N     alpha.X2       uc.12        uc.21 eCnj Ind kaaCnj OtherCnj
RdplS                   28   0.02669233  0.03473109  0.001566345    +   -      0        0
PV.Time               1256 7.892305e-64  0.07547409   0.04400162    0   -      -        +
PV.StartFinWantCan      96 0.0005150202  0.01628147  0.001966323    0   0      +        0
PV.Position             80  0.007590556  0.02083243  0.002184066    0   0      -        +
PV.Discourse            64  5.79935e-05  0.04219429  0.003711857    +   -      0        -
PV.WantCan              63 1.339115e-05  0.03021341  0.002624953    -   0      +        0
TI.do                 1638 7.765218e-35  0.03890925   0.02306489    +   -      0        +
TI_cosine_3           1400 3.325165e-15  0.01687041   0.01000658    -   +      -        -
TI_cosine_1           1139 0.0001358132 0.005093888  0.002897804    0   -      +        0
TI.cognitive          1128 7.347611e-46  0.05244476    0.0297505    -   +      -        -
TI_cosine_4            326 0.0003649697   0.0093892  0.002754856    +   -      0        0
TI.speech              239 2.931205e-08  0.01921655  0.004557864    -   0      +        0
TI_cosine_2            134 1.878504e-07  0.03242227  0.005046778    +   -      0        +
auto.vti.1            1368 5.854129e-06 0.006606722  0.003908341    +   0      0        -
auto.vti.4            1155 1.158184e-07 0.008718387  0.004979315    -   +      +        +
auto.ni.3.goal         615 1.536536e-09  0.01297169  0.005623369    -   0      +        0
auto.vti.2             281 2.936424e-10  0.02727707  0.007238732    +   -      0        +
auto.na.5.actor        170   0.03095862 0.006635139  0.001232195    -   +      0        0
auto.ni.9.goal          71  0.002762692  0.02386542  0.002278641    +   -      0        0
auto.ni.2.goal          60   0.01772667   0.0189209  0.001581447    +   -      0        0
auto.ni.10.goal         39   0.00118951  0.04334114  0.002562833    +   -      0        0
auto.ni.4.goal          32  4.36146e-08  0.07894459  0.003972818    -   0      +        +
auto.na.1.actor         26   0.02963929  0.02398581   0.00101764    0   0      +        0
NA.persons.actor       242  0.004562555 0.007235728   0.00173129    -   0      +        0
A.actor                203 0.0005026148   0.0100312  0.002118753    0   0      +        0
N.actor                163    0.0217418 0.006800525  0.001224502    0   0      +        0
Sg.actor               132  0.001419217  0.01175609  0.001809382    0   0      +        0
Pers.actor              95  0.009895612   0.0133904   0.00160416    0   +      0        0
pn.1Sg.actor            44 3.374246e-05  0.04621704  0.003013212    -   +      0        0
Dem.actor               30   0.04536714  0.01811428 0.0008646088    0   0      +        0
niya.actor              26 6.012088e-05  0.07882931   0.00334447    -   +      0        0
pn.3Pl.actor            14   0.01481014  0.08465882  0.002142789    +   -      0        0
Indef.actor             13  0.009043448  0.05893474  0.001401279    -   0      0        +
actor.3               1529 1.403077e-27  0.03084638   0.01837165    +   -      +        0
actor.1               1158 6.909847e-22  0.02508577   0.01433748    -   +      -        -
actor.2                254 3.282488e-26  0.06315237   0.01563003    -   +      0        +
actor.4                 18   0.01664111    0.037543  0.001173454    0   0      +        0
I.goal                1017 1.249965e-12  0.01470294  0.008061957    0   -      +        0
Sg.goal                774 3.469836e-13  0.01630446  0.007961275    -   -      +        0
N.goal                 730 4.724096e-08  0.01113409  0.005282642    +   -      +        0
NI.object.goal         705 7.070834e-08   0.0100338  0.004677346    0   0      +        0
Dem.goal               310 5.829089e-08  0.01586047  0.004499308    -   0      +        0
Pron.goal              310 5.829089e-08  0.01586047  0.004499308    -   0      +        0
Pl.goal                251 0.0009443846 0.009808646    0.0024076    +   -      0        0
Prox.goal              175 5.642808e-08  0.02273007  0.004311628    -   0      +        0
NI.nominal.goal        106 2.880254e-05  0.02340261   0.00304986    0   -      +        +
NI.natural.force.goal   71  0.006788324  0.01986948  0.001897114    +   -      0        0
NI.nature.plants.goal   42   0.04586702  0.01981603  0.001244279    0   0      0        0
NI.place.goal           40   0.01037442   0.0355762  0.002147335    +   -      0        0
Px12Pl.goal             15  0.001883578  0.05773166  0.001548629    -   0      +        0
