
Univariate analysis of categorical variables:

Dependents (2):  OrderType = eCnj, kaaCnj, Other 

Independents (1): PV.Time, PV.Move, PV.Position, PV.Discourse, PV.Qual, PV.WantCan, PV.StartFin, TA.do, TA.speech, TA.cognitive, TA.food, TA.money.count, TA.allow, RdplW, 
RdplS, auto.vta.6, auto.vta.3, auto.vta.1, auto.vta.5, auto.na.5.goal, auto.nda.1.goal, auto.vta.4, auto.na.5.actor, auto.vta.2, auto.na.7.goal, 
auto.nda.1.actor, auto.na.2.goal, auto.na.3.goal, auto.na.7.actor, auto.nda.3.goal, auto.na.1.goal, auto.na.1.actor, auto.na.6.goal, auto.nda.3.actor, 
auto.vta.7, NA.persons.actor, Sg.actor, D.actor, NDA.Relations.actor, Pron.actor, Px1Sg.actor, Err.Orth.actor, Dem.actor, Obv.actor, Pl.actor, Pers.actor, 
Prox.actor, Med.actor, actor.3, actor.1, actor.2, actor.4, goal.3, goal.4, goal.1, goal.2, NA.persons.goal, Obv.goal, Sg.goal, Pron.goal, D.goal, 
NDA.Relations.goal, Pl.goal, Dem.goal, Err.Orth.goal, Prox.goal, NA.beast.of.burden.goal, Px1Sg.goal, Med.goal, Px3Sg.goal, Pers.goal, NA.food.goal, 
Px3Pl.goal


                           N      alpha.X2        uc.12        uc.21 eCnj kaaCnj Other
PV.Time                  197 3.911144e-224    0.4814332    0.1447402    -      -     +
PV.Move                  163     0.3764032  0.001733846 0.0004738348    0      0     0
PV.Position              145  2.558142e-76    0.2121766   0.05347014    -      -     +
PV.Discourse             124   0.001063257    0.0207402  0.004395308    0      +     -
PV.Qual                   71     0.1539733   0.00650445 0.0009577943    0      0     0
PV.WantCan                57     0.6847246  0.001953071 0.0001737862    0      0     0
PV.StartFin               41     0.7408339  0.001514272 0.0001463046    0      0     0
TA.do                    785   0.002256485  0.004169606  0.002892547    +      -     0
TA.speech                753  3.016966e-16   0.02368483   0.01618594    -      +     0
TA.cognitive             677  4.302917e-05   0.00749137  0.004872018    +      -     0
TA.food                  106    0.05833127  0.007294905  0.001389417    +      0     0
TA.money.count            62     0.2778891  0.004312583 0.0005778426    0      0     0
TA.allow                  34    0.04650598   0.01969708  0.001598203    +      0     0
RdplW                     56     0.2101255  0.008266119 0.0009204164    0      0     0
RdplS                     51   0.003520995   0.02786967  0.003203037    +      -     0
auto.vta.6               925  2.417355e-08   0.01102698  0.008079347    -      +     0
auto.vta.3               532  7.777794e-05  0.008043904  0.004626796    +      -     0
auto.vta.1               363    0.02092991  0.003716952  0.001734778    -      0     +
auto.vta.5               346    0.04577408  0.003101916  0.001386152    0      0     +
auto.na.5.goal           334     0.3562405  0.001090955 0.0004781899    0      0     0
auto.nda.1.goal          147   0.009098065  0.009652854  0.002407812    +      -     0
auto.vta.4               133  0.0001001785   0.01987093  0.004697256    +      -     -
auto.na.5.actor          122     0.7582564 0.0006019627 0.0001325668    0      0     0
auto.vta.2               107   0.007468891   0.01279861  0.002585807    +      0     -
auto.na.7.goal            90     0.2867666  0.003286867 0.0005719927    0      0     0
