                           N      alpha.X2       uc.12       uc.21 eCnj kaaCnj Other
PV.Time                  197 3.911144e-224   0.4814332   0.1447402    -      -     +
PV.Position              145  2.558142e-76   0.2121766  0.05347014    -      -     +
PV.Discourse             124   0.001063257   0.0207402 0.004395308    0      +     -
TA.do                    785   0.002256485 0.004169606 0.002892547    +      -     0
TA.speech                753  3.016966e-16  0.02368483  0.01618594    -      +     0
TA.cognitive             677  4.302917e-05  0.00749137 0.004872018    +      -     0
TA.allow                  34    0.04650598  0.01969708 0.001598203    +      0     0
RdplS                     51   0.003520995  0.02786967 0.003203037    +      -     0
auto.vta.6               925  2.417355e-08  0.01102698 0.008079347    -      +     0
auto.vta.3               532  7.777794e-05 0.008043904 0.004626796    +      -     0
auto.vta.1               363    0.02092991 0.003716952 0.001734778    -      0     +
auto.vta.5               346    0.04577408 0.003101916 0.001386152    0      0     +
auto.nda.1.goal          147   0.009098065 0.009652854 0.002407812    +      -     0
auto.vta.4               133  0.0001001785  0.01987093 0.004697256    +      -     -
auto.vta.2               107   0.007468891  0.01279861 0.002585807    +      0     -
Sg.actor                 178    0.02401916 0.006664728 0.001957136    +      0     -
D.actor                  106    0.03880109 0.008999903 0.001805453    +      0     -
Err.Orth.actor            62    0.02988754  0.01780985 0.002325953    0      0     -
Prox.actor                28    0.04957554  0.01971411 0.001399885    0      +     0
actor.3                  993   8.04392e-16  0.02229671  0.01663568    +      -     -
actor.1                  726  8.682223e-05 0.006366946 0.004282878    -      +     0
actor.2                  171  9.240332e-24  0.06883952  0.01881283    -      0     +
goal.3                  1123  1.224984e-08  0.01121288 0.008515688    -      +     +
goal.4                   587  2.339781e-08  0.01389052 0.008469706    +      -     -
goal.1                   515  7.764769e-06  0.01085178  0.00624838    +      0     -
goal.2                   184  4.301752e-05   0.0153671 0.004530645    -      +     0
Obv.goal                 295  3.343374e-05  0.01226904 0.005061779    +      -     0
Sg.goal                  277   0.003127534 0.006858131 0.002642227    -      +     0
D.goal                   175     0.0012917  0.01186593 0.003372028    +      -     0
NDA.Relations.goal       173   0.001855489  0.01130723 0.003186131    +      -     0
Dem.goal                 161    0.03034999 0.005826815 0.001549256    -      +     0
Prox.goal                 96   0.002632653  0.01432016 0.002642915    -      +     0
NA.beast.of.burden.goal   88    0.03603051 0.009670918 0.001682969    +      -     0
Px1Sg.goal                83   0.002406437  0.02382579 0.003925929    +      0     -
Px3Sg.goal                48   0.004168382  0.02769833 0.003034159    +      -     0
Pers.goal                 41    0.02444607  0.02083207 0.001933705    +      -     0
NA.food.goal              23    0.03679964  0.02981013  0.00180217    +      -     0
