
Univariate analysis of categorical variables:

Dependents (2):  TopOrder = Cnj, Ind 

Independents (1): PV.Move, PV.Time, PV.Position, PV.Qual, PV.Discourse, PV.StartFin, PV.WantCan, AI.do, AI.state, AI.speech, AI.reflexive, AI.cooking, AI.health, 
AI.money.count, AI.plural, AI.pray, AI.heat.fire, RdplW, RdplS, auto.vai.2, auto.vai.5, auto.vai.6, auto.vai.12, auto.na.5.actor, auto.vai.11, auto.vai.9, 
auto.vai.3, auto.nda.1.actor, auto.vai.13, auto.vai.4, auto.na.7.actor, auto.vai.1, auto.vai.8, auto.vai.7, auto.na.1.actor, auto.nda.3.actor, auto.vai.10, 
auto.na.3.actor, auto.na.2.actor, auto.na.4.actor, auto.na.6.actor, NA.persons.actor, Sg.actor, Pron.actor, Pl.actor, D.actor, NDA.Relations.actor, 
Dem.actor, Err.Orth.actor, Pers.actor, Px1Sg.actor, Prox.actor, Med.actor, Incl.actor, Obv.actor, NA.beast.of.burden.actor, NA.food.actor, Px3Sg.actor, 
Indef.actor, Emph.actor, actor.3, actor.1, actor.2, actor.4


                            N      alpha.X2        uc.12        uc.21 Cnj Ind
PV.Move                   494  1.341372e-11   0.01422886   0.00571216   +   -
PV.Time                   384  4.052919e-10   0.01479237  0.004944143   +   -
PV.Position               347   0.009902011  0.002601431 0.0008065753   +   -
PV.Qual                   230  2.384325e-06   0.01257577  0.002854213   +   -
PV.Discourse              207  4.110644e-12   0.03241597  0.006781048   +   -
PV.StartFin               207  0.0006195824  0.007052691  0.001475342   +   -
PV.WantCan                100     0.6035989 0.0003804631 4.466601e-05   0   0
AI.do                    2346  1.522223e-52   0.02693953    0.0273985   +   -
AI.state                 2249  6.211755e-15  0.006980483  0.006982982   +   -
AI.speech                1564 1.154358e-262    0.1486223      0.12513   -   +
AI.reflexive              330  3.621446e-10   0.01691263  0.005050703   +   -
AI.cooking                305  5.017014e-07    0.0112942  0.003179017   +   -
AI.health                 135   0.001226567  0.009107507  0.001360735   +   -
AI.money.count            120     0.2680667  0.001230953 0.0001673819   0   0
AI.plural                 114     0.2436672   0.00141946 0.0001852243   0   0
AI.pray                    79    0.02937022  0.006642767 0.0006437583   +   -
AI.heat.fire               19      0.239107  0.008715271 0.0002557498   0   0
RdplW                     164    0.00577303  0.005554251 0.0009682948   +   -
RdplS                     162     0.5438547 0.0003139507 5.420516e-05   0   0
auto.vai.2               2356 7.226749e-147    0.0706351   0.07195463   -   +
auto.vai.5               1160  1.861366e-20   0.01457659   0.01034537   +   -
