                    N      alpha.X2       uc.12        uc.21 Cnj Ind
PV.Move           494  1.341372e-11  0.01422886   0.00571216   +   -
PV.Time           384  4.052919e-10  0.01479237  0.004944143   +   -
PV.Position       347   0.009902011 0.002601431 0.0008065753   +   -
PV.Qual           230  2.384325e-06  0.01257577  0.002854213   +   -
PV.Discourse      207  4.110644e-12  0.03241597  0.006781048   +   -
PV.StartFin       207  0.0006195824 0.007052691  0.001475342   +   -
AI.do            2346  1.522223e-52  0.02693953    0.0273985   +   -
AI.state         2249  6.211755e-15 0.006980483  0.006982982   +   -
AI.speech        1564 1.154358e-262   0.1486223      0.12513   -   +
AI.reflexive      330  3.621446e-10  0.01691263  0.005050703   +   -
AI.cooking        305  5.017014e-07   0.0112942  0.003179017   +   -
AI.health         135   0.001226567 0.009107507  0.001360735   +   -
AI.pray            79    0.02937022 0.006642767 0.0006437583   +   -
RdplW             164    0.00577303 0.005554251 0.0009682948   +   -
auto.vai.2       2356 7.226749e-147   0.0706351   0.07195463   -   +
auto.vai.5       1160  1.861366e-20  0.01457659   0.01034537   +   -
auto.vai.6       1072  9.384994e-05 0.002627155  0.001776733   +   -
auto.vai.12       762  7.397736e-05 0.003413605  0.001851875   +   -
auto.na.5.actor   694  0.0004210309  0.00288318  0.001468354   +   -
auto.vai.11       607  2.160878e-11  0.01183874  0.005497603   +   -
auto.vai.9        322  2.825997e-11  0.01966182  0.005764704   +   -
auto.vai.3        230   0.001085143 0.005865402   0.00133122   +   -
auto.vai.13       212  0.0009173937 0.006470318  0.001378824   +   -
auto.vai.4        189  0.0002642792 0.008698115  0.001695036   +   -
auto.vai.8        110   0.009506622  0.00696767 0.0008834379   +   -
auto.vai.7         77   0.002326505   0.0135341  0.001284374   +   -
auto.vai.10        52  0.0004978177  0.02712379  0.001861947   +   -
NA.persons.actor  961  3.047515e-06 0.004047984   0.00255599   +   -
Pron.actor        528   0.007026538 0.002054782 0.0008650171   +   -
Pl.actor          345  0.0001302771 0.005800879  0.001790835   +   -
Pers.actor        238    0.03237028 0.002434381 0.0005672515   +   -
Obv.actor          70    0.01777891 0.008822871 0.0007743199   +   -
actor.3          4052  5.995456e-62   0.0283794   0.03152431   -   +
actor.1          2047  1.450195e-11 0.005451492  0.005240317   +   -
actor.2           382  1.323972e-11  0.01759819  0.005859329   +   -
actor.4           196  6.489898e-09  0.02274958  0.004560957   +   -
