                   N     alpha.X2       uc.12       uc.21 Cnj Ind
PV.Time          240  4.40814e-05  0.01079916 0.004408656   +   -
PV.Move          196 5.724511e-05  0.01235578 0.004354417   +   -
PV.Position      164 2.096091e-07  0.02497864 0.007713731   +   -
PV.Discourse     136 5.168649e-08  0.03328633 0.008926388   +   -
PV.Qual           87   0.01720315 0.008462507 0.001606909   +   -
PV.WantCan        73   0.01019575  0.01159937 0.001917905   +   -
TA.speech       1346  2.41914e-37  0.03414711  0.03744017   -   +
TA.do           1010 4.399418e-14  0.01422043  0.01402351   +   -
TA.cognitive     937 0.0006031732 0.003000287 0.002859319   +   -
TA.food          120 4.875552e-07  0.03131819 0.007633014   +   -
TA.money.count    82   0.03639144 0.006877351 0.001246548   +   -
auto.vta.6      1620 1.285193e-46  0.04230882  0.04820646   -   +
auto.vta.3       651 4.279024e-17  0.02323396  0.01827498   +   -
auto.vta.5       483  0.009830354 0.002536063 0.001664857   +   -
auto.vta.1       477 1.721222e-06 0.008900584 0.005796886   +   -
auto.na.5.goal   424 1.797638e-05 0.007733809 0.004669089   +   -
auto.vta.4       160 6.468391e-06  0.01875706 0.005686374   +   -
A.actor          349  0.000924344  0.00526517 0.002792273   +   -
N.actor          273  0.002948561 0.005090244 0.002277481   +   -
Sg.actor         235   0.01007968 0.004275078 0.001719067   +   -
actor.1         1236 2.391558e-15  0.01351195  0.01442558   -   +
actor.2          243  0.009776702 0.004198875 0.001729482   +   -
actor.4          207 0.0004923049 0.008760001 0.003213115   +   -
goal.3          1738 1.248062e-05 0.003937244 0.004510599   -   +
goal.4           781  0.001231144 0.002937947 0.002555781   +   -
goal.2           242 1.007229e-07  0.01879311 0.007717892   +   -
NA.persons.goal  600 3.292888e-06 0.007195481 0.005396199   +   -
Obv.goal         377 0.0008222041 0.005075868 0.002835505   +   -
Err.Orth.goal    185   0.03510224 0.003473482 0.001173138   +   -
