                         N     alpha.X2       uc.12       uc.21 Cnj Ind
PV.Time                321  0.005301733 0.004021924 0.002123697   +   -
PV.Discourse           101 1.508641e-05   0.0271552 0.006125185   +   -
PV.Qual                 83   0.01117147  0.01026695 0.001986954   +   -
TI.do                 1806 5.815179e-40  0.03728049  0.04399371   +   -
TI.cognitive          1276 1.670827e-48  0.04633529  0.05206975   -   +
auto.vti.4            1279 3.990539e-07 0.005666821 0.006372604   -   +
auto.ni.3.goal         883 0.0006941672 0.003083979    0.002992   +   -
auto.vti.2             297 6.305836e-09  0.01960035 0.009810167   +   -
auto.na.5.actor        270 4.353919e-05 0.008584169 0.004019875   -   +
auto.ni.10.goal         81 0.0005836314   0.0200913 0.003814429   +   -
auto.ni.9.goal          81   0.01510779 0.009605309 0.001823614   +   -
auto.ni.2.goal          71  0.007732448  0.01315229 0.002250286   +   -
NA.persons.actor       348  0.001256184 0.004590305 0.002560579   -   +
Pron.actor             223 0.0001340946 0.008607534 0.003517508   -   +
Pers.actor             156 1.945563e-06   0.0169015 0.005310807   -   +
actor.3               1522  1.81528e-11 0.009789975  0.01145692   +   -
actor.1               1367 1.239249e-19  0.01765928  0.02022297   -   +
actor.2                306  0.000300166 0.006228385 0.003182387   -   +
actor.4                 87 7.841019e-07  0.04425791 0.008887224   +   -
Sg.goal               1103 2.159699e-05 0.004350175 0.004649673   +   -
NI.object.goal         966 0.0005832819  0.00302997 0.003064532   +   -
N.goal                 900 2.673205e-09 0.009499759 0.009300576   +   -
Dem.goal               510   0.04262021 0.001538034 0.001099121   +   -
Pron.goal              510   0.04262021 0.001538034 0.001099121   +   -
Pl.goal                299 3.437457e-06  0.01209183 0.006080282   +   -
Err.Orth.goal          256 0.0006333342 0.007230282    0.003261   +   -
NI.nominal.goal        163     0.018934 0.004855898 0.001576699   +   -
NI.natural.force.goal   88    0.0207587  0.00804765 0.001630531   +   -
NI.nature.plants.goal   80  0.008561876  0.01143586 0.002150036   +   -
NI.place.goal           57  0.006541565  0.01703813 0.002446794   +   -
NDI.Body.goal           29     0.023243  0.02364376 0.001958032   +   -
