                       N      alpha.X2       uc.12        uc.21 eCnj Ind
PV.Move              370  1.315321e-13  0.02164491   0.00774885    +   -
PV.Qual              189  8.461569e-10  0.02524103  0.005481565    +   -
PV.StartFin          157   0.001014785 0.008221471   0.00154725    +   -
PV.Discourse         136  9.923225e-11  0.03768994  0.006340908    +   -
PV.Time               95  4.570527e-06  0.02282882  0.002890024    -   +
AI.do               1691   3.16527e-37  0.02448835   0.02199017    +   -
AI.state            1680  9.985538e-19  0.01171429   0.01049119    +   -
AI.speech           1339 6.769573e-219   0.1690823    0.1364859    -   +
AI.cooking           239  3.771886e-10  0.02166987  0.005624337    +   -
AI.reflexive         231  7.136445e-10  0.02154871  0.005451315    +   -
AI.plural             91    0.02845676 0.005861464 0.0007168889    +   -
RdplW                130  0.0001352652  0.01301234  0.002112958    +   -
auto.vai.2          1912  3.01523e-137  0.08810447   0.08286217    -   +
auto.vai.5           851  6.924815e-20  0.01828777   0.01144979    +   -
auto.vai.6           833  1.301936e-07 0.006125867  0.003785405    +   -
auto.vai.12          556  0.0009816688 0.003131956  0.001489833    +   -
auto.na.5.actor      517  5.084765e-05 0.004976205  0.002252938    +   -
auto.vai.11          431  7.276552e-10  0.01321313  0.005272441    +   -
auto.vai.9           238  2.678382e-09  0.01955073  0.005058345    +   -
auto.nda.1.actor     182   0.002298496 0.006270473   0.00132286    +   -
auto.vai.3           166   0.001430983 0.007391183  0.001452441    +   -
auto.vai.13          157  8.172352e-05  0.01183708  0.002227694    +   -
auto.vai.4           136  0.0001217182  0.01269755   0.00213622    +   -
auto.vai.8            84   0.003383626  0.01115144  0.001278884    +   -
auto.vai.7            53   0.001165995    0.020827  0.001641813    +   -
auto.vai.10           35   0.002625732  0.02653891  0.001483535    +   -
NA.persons.actor     689   4.51066e-05 0.004139177  0.002269001    +   -
Pron.actor           393    0.00551575 0.002858663  0.001068516    +   -
Pl.actor             242  0.0001772569 0.007542294  0.001976013    +   -
D.actor              238   0.006064065 0.004105299  0.001062161    +   -
NDA.Relations.actor  237   0.007117242 0.003963232  0.001022161    +   -
Err.Orth.actor       195    0.04333813 0.002638537 0.0005868863    +   -
Pers.actor           194   0.006980985 0.004672599   0.00103524    +   -
Obv.actor             55   0.001611965  0.01895371  0.001540297    +   -
Px3Sg.actor           29    0.02040864  0.01884873 0.0009001908    +   -
Emph.actor            21    0.03911926  0.02075955 0.0007551097    +   -
actor.3             3230  1.087756e-27  0.01602481   0.01588437    -   +
actor.1             1596  3.482842e-08 0.004658967  0.004083045    +   -
actor.2              193   0.007413591 0.004476743 0.0009879324    -   +
actor.4              137  2.196973e-10   0.0359306  0.006079746    +   -
