                           N     alpha.X2       uc.12       uc.21 eCnj Ind
PV.Move                  137 1.974249e-06  0.02332086 0.007078619    +   -
PV.Discourse              82 9.009659e-08  0.04642246 0.009566533    +   -
PV.Position               71  0.004238356  0.01438245 0.002651023    +   -
PV.Qual                   65  0.002103487  0.01795646 0.003089372    +   -
PV.Time                   58 5.904923e-06  0.03980949 0.006262672    -   +
TA.speech                961 2.977826e-43  0.05660433  0.05454519    -   +
TA.do                    727 5.349337e-17  0.02371663  0.02059646    +   -
TA.cognitive             692 6.606099e-05 0.005488424  0.00466137    +   -
TA.food                   85 3.341469e-07  0.04061024 0.008603388    +   -
auto.vta.6              1192 2.248303e-41  0.05199275  0.05233028    -   +
auto.vta.3               467 5.652625e-19  0.03444865  0.02380808    +   -
auto.vta.1               310  0.006884765 0.004091372  0.00219648    +   -
auto.na.5.goal           274 9.676837e-05 0.009227007 0.004566345    +   -
auto.vta.4               130 6.525392e-08  0.03175021 0.009270948    +   -
auto.vta.2               116  0.009072646 0.007970857 0.002138084    +   -
auto.na.2.goal            67     0.045146 0.007529682 0.001326536    +   -
Sg.actor                 179  0.000834866 0.009262361 0.003413668    +   -
D.actor                  113   0.04568943 0.004836966 0.001272217    +   -
Pers.actor                53   0.04601166 0.008753132 0.001282297    -   +
actor.3                 1097 7.010994e-09 0.009750414 0.009698975    +   -
actor.1                  909 3.239034e-19  0.02424799  0.02296679    -   +
actor.4                  132   0.00266803 0.009494874 0.002803976    +   -
actor.2                  128  0.005895883 0.007885753   0.0022763    -   +
goal.3                  1212 1.676198e-10  0.01165388  0.01174646    -   +
goal.4                   602 2.952908e-11  0.01637947  0.01300015    +   -
NA.persons.goal          395 5.473695e-05 0.007722473  0.00483155    +   -
Obv.goal                 295 3.111969e-09  0.02040016  0.01060226    +   -
NA.beast.of.burden.goal   93   0.01446138 0.008407941 0.001908266    +   -
