                         N     alpha.X2       uc.12       uc.21 eCnj Ind
PV.Time                 79 4.305632e-15  0.09175362  0.01872064    -   +
PV.Qual                 70  0.001698444  0.01797477  0.00333896    +   -
PV.Discourse            69 5.285324e-06  0.03998864 0.007345382    +   -
TI.do                 1307 1.230774e-33   0.0418083  0.04297371    +   -
TI.cognitive          1047 1.627122e-27  0.03429279  0.03439892    -   +
TI.speech              187  0.001797678 0.007496994 0.002904212    -   +
auto.vti.4             947 9.470835e-08 0.008522994 0.008326299    -   +
auto.vti.2             223  3.47604e-09  0.02544647  0.01115291    +   -
auto.na.5.actor        211 0.0001878188 0.009747585 0.004111132    -   +
auto.ni.10.goal         65 5.877983e-06   0.0418875 0.007343453    +   -
auto.ni.9.goal          60  0.009983186  0.01383263 0.002277415    +   -
auto.ni.2.goal          59 0.0003657968  0.02729264 0.004434433    +   -
NA.persons.actor       263  0.002776962 0.005426818 0.002662052    -   +
Pron.actor             176 0.0003210809  0.01032209 0.003829477    -   +
Pers.actor             137 0.0002776724   0.0126814 0.003921991    -   +
actor.3               1128 2.006203e-18  0.02226914  0.02265727    +   -
actor.1               1086 3.578199e-14   0.0165757  0.01675394    -   +
actor.2                200 1.442279e-20  0.06169669  0.02506297    -   +
actor.4                 58 7.451973e-08  0.07082322  0.01135322    +   -
Sg.goal                739   0.02488933 0.001709983 0.001523268    +   -
NI.object.goal         670   0.02514016  0.00178567 0.001521483    +   -
Pl.goal                229 8.679997e-09   0.0236075  0.01053838    +   -
Err.Orth.goal          200 3.071516e-06  0.01698591 0.006900165    +   -
NI.natural.force.goal   71  0.001301012   0.0186566 0.003504101    +   -
NI.nature.plants.goal   61 0.0005507386  0.02479936 0.004136398    +   -
NI.place.goal           34    0.0291298  0.01679478 0.001756221    +   -
NDI.Body.goal           16   0.04362269  0.03112916 0.001750049    +   -
Px1Sg.goal              15   0.01862236  0.03675281 0.001957713    -   +
Px3Pl.goal              13  0.007237018  0.08235897 0.003890961    +   -
